Wallet ID,Row,Timestamp (UTC),Description,Currency,Balance delta,Available balance delta,Balance,Available balance,Cryptocurrency transaction ID,Cryptocurrency address,Value currency,Value amount,Reference
6841338175258490380,1,2021-01-22 00:26:04,Bought 554.00 XRP/ZAR @ 4.00,XRP,554.00000000,554.00000000,554.00000000,554.00000000,,,ZAR,2216.00,0237ff1f
6841338175258490380,2,2021-01-22 00:26:04,Bought 696.00 XRP/ZAR @ 4.00,XRP,696.00000000,696.00000000,1250.00000000,1250.00000000,,,ZAR,2784.00,b2bc8fa6
6841338175258490380,4,2021-01-30 10:39:18,Sold 3.00 XRP/ZAR @ 4.98,XRP,-3.00000000,0.00000000,1247.00000000,0.00000000,,,ZAR,14.94,98eaec98
6841338175258490380,5,2021-01-30 10:39:20,Sold 101.00 XRP/ZAR @ 4.98,XRP,-101.00000000,0.00000000,1146.00000000,0.00000000,,,ZAR,502.98,acd21a6b
6841338175258490380,6,2021-01-30 10:39:20,Sold 99.00 XRP/ZAR @ 4.98,XRP,-99.00000000,0.00000000,1047.00000000,0.00000000,,,ZAR,493.02,d716754a
6841338175258490380,7,2021-01-30 10:39:22,Sold 20.00 XRP/ZAR @ 4.98,XRP,-20.00000000,0.00000000,1027.00000000,0.00000000,,,ZAR,99.60,49d6f76e
6841338175258490380,8,2021-01-30 10:39:22,Sold 99.00 XRP/ZAR @ 4.98,XRP,-99.00000000,0.00000000,928.00000000,0.00000000,,,ZAR,493.02,eacedf76
6841338175258490380,9,2021-01-30 10:39:26,Sold 104.00 XRP/ZAR @ 4.98,XRP,-104.00000000,0.00000000,824.00000000,0.00000000,,,ZAR,517.92,fb38a371
6841338175258490380,10,2021-01-30 10:39:27,Sold 824.00 XRP/ZAR @ 4.98,XRP,-824.00000000,0.00000000,0.00000000,0.00000000,,,ZAR,4103.52,24d43a7d
6841338175258490380,12,2021-02-18 07:05:19,Bought 119.00 XRP/ZAR @ 8.39,XRP,119.00000000,118.88100000,119.00000000,118.88100000,,,ZAR,998.41,ffd2f4c5
6841338175258490380,13,2021-02-18 07:05:19,Trading fee,XRP,-0.11900000,0.00000000,118.88100000,118.88100000,,,ZAR,0.99,ffd2f4c5
6841338175258490380,14,2021-02-18 08:24:16,Bought 120.00 XRP/ZAR @ 8.28,XRP,120.00000000,120.00000000,238.88100000,238.88100000,,,ZAR,993.60,97ea152c
6841338175258490380,15,2021-02-18 09:24:20,Bought 122.00 XRP/ZAR @ 8.19,XRP,122.00000000,122.00000000,360.88100000,360.88100000,,,ZAR,999.18,b2970fe4
6841338175258490380,16,2021-02-18 11:34:44,Bought 123.00 XRP/ZAR @ 8.09,XRP,123.00000000,123.00000000,483.88100000,483.88100000,,,ZAR,995.07,29935c61
6841338175258490380,17,2021-02-18 11:40:50,Bought 124.00 XRP/ZAR @ 8.01,XRP,124.00000000,124.00000000,607.88100000,607.88100000,,,ZAR,993.24,876ae495
